Name,Age,Cause
Cornelius Hogeboom,53.0,Gunfire
Robert Forsyth,40.0,Gunfire
Robert Maxwell,45.0,Gunfire
Hilary Baker,52.0,Other
John Caldwell Cook,74.0,Gunfire
Ellis Drake,20.0,Gunfire
Ebenezer Parker,48.0,Other
Thomas Hewlett,46.0,Other
John Stout,33.0,Gunfire
Caleb Hewitt,27.0,Other
William Huddleston,60.0,Other
Robert Murphy,24.0,Other
William Davidson,56.0,Gunfire
Jonathan Houghton,61.0,Other
Robert McGuffin,40.0,Other
Silas Goree,43.0,Other
John Smith,83.0,Other
Ezra Hoskins,66.0,Other
Moore C. Wisdom,25.0,Other
William Gresham,31.0,Gunfire
Kim Hudson,43.0,Other
Luciese Lewis Leuba,25.0,Other
David Clark,40.0,Gunfire
James Coryell,34.0,Gunfire
John Batts,70.0,Other
John B. Walters,24.0,Gunfire
William H. Weaver,21.0,Gunfire
John Bird,44.0,Other
John Kimmey,37.0,Gunfire
Jacob Shipman Burleson,36.0,Gunfire
James Gilleland,40.0,Gunfire
Joseph L. Hood,38.0,Other
Wade Hampton Rattan,30.0,Gunfire
John B. Denton,34.0,Gunfire
Abram Trigg Smith,43.0,Gunfire
George W. Heard,31.0,Gunfire
Cyrus Sells,22.0,Other
Thomas Wooldridge,45.0,Gunfire
"Charles Lincoln, Jr.",47.0,Other
George Lee Phillips,38.0,Other
James Gastin,40.0,Other
Lansford Stallings,41.0,Gunfire
Osman N. Steele,35.0,Gunfire
John Holton,42.0,Other
Richard S. Gilbert,35.0,Other
Gilbert Byrd Burchfield,35.0,Gunfire
Littleton P. Rattan,38.0,Other
John Wesley Dier,18.0,Gunfire
Thomas Couzens,35.0,Other
David Estes,37.0,Gunfire
James Fancher,25.0,Other
John Brasher,36.0,Gunfire
"Daniel C. ""Doc"" Sullivan",17.0,Gunfire
James Corcoran,32.0,Other
John Lemon Wilbarger,20.0,Gunfire
Charles Grandison Bryant,47.0,Other
John A. Reed,40.0,Other
Cornelius Mooney,27.0,Gunfire
Patrick Slevin,30.0,Gunfire
David Neil,27.0,Gunfire
