Name,State,Year
Silas Goree,Alabama,1829
Lansford Stallings,Alabama,1845
Jeremiah Lynch,Alabama,1872
Abram S. Johnson,Alabama,1881
Seaborn J. Crook,Alabama,1881
William J. Street,Alabama,1883
Henry Dilmus Hart,Alabama,1884
Kinnard Barnes,Alabama,1885
John Robert Pugh,Alabama,1886
William D. Montgomery,Alabama,1886
Tim Anderson,Alabama,1887
John Manning Awtrey,Alabama,1888
D. J. Kinney,Alabama,1888
John Riley Manning,Alabama,1889
Robert King Vann,Alabama,1889
Joe Keith,Alabama,1890
William A. Hendon,Alabama,1890
Henry Barganier,Alabama,1892
James S. Childress,Alabama,1893
James Harris,Alabama,1893
James Thomas McClendon,Alabama,1893
James Walton Smith,Alabama,1894
J. W. Thompson,Alabama,1894
B. W. Pearce,Alabama,1894
Charles M. Cole,Alabama,1894
John Cowlett,Alabama,1894
Ed S. McMillan,Alabama,1895
Ed Jackson,Alabama,1895
James R. Stewart,Alabama,1895
James B. Foster,Alabama,1895
John F. Suggs,Alabama,1896
Louis Griffin Bass,Alabama,1896
Dick Wharton,Alabama,1897
Robert Warmock,Alabama,1898
James T. Cooley,Alabama,1900
George W. Kirkley,Alabama,1900
J. Wafe Adams,Alabama,1900
Hansford P. Gipson,Alabama,1901
Edward McGrath Morris,Alabama,1901
Joseph Littleton Edwards,Alabama,1901
John J. Flowers,Alabama,1902
James Payne,Alabama,1902
Pat A. Prout,Alabama,1902
William Gassaway,Alabama,1902
Charles Gassaway,Alabama,1902
Jesse Davis,Alabama,1902
John S. Harrington,Alabama,1902
Bob Wallace,Alabama,1902
William P. Walton,Alabama,1902
James H. Mullin,Alabama,1903
J. M. Bishop,Alabama,1903
Alfred Pinkney Jenkins,Alabama,1903
"William A. Russell, Jr.",Alabama,1903
Charles Haggerty,Alabama,1903
George Washington Bryan,Alabama,1904
"William Amslom Baber, Sr.",Alabama,1905
D. S. Putman,Alabama,1905
Calvin Childs,Alabama,1905
W. L. Steele,Alabama,1905
Will G. Jackson,Alabama,1905
William L. McCain,Alabama,1906
"Jesse Lemuel ""Lem"" Jones",Alabama,1906
Elbert R. Abernathy,Alabama,1906
John H. Hollis,Alabama,1907
Tom Thompson,Alabama,1907
John Roderick,Alabama,1907
Samuel H. Hamilton,Alabama,1907
William E. Haynes,Alabama,1908
Bentley MacFarland Burnett,Alabama,1908
Otha Zeiglar Dent,Alabama,1908
Robert Gardner,Alabama,1908
John W. Little,Alabama,1908
Willis A. Smith,Alabama,1908
Philip Fatch,Alabama,1909
John L. Wainwright,Alabama,1909
James H. Durand,Alabama,1909
George Clinton Eubank,Alabama,1909
T. Walter Berrey,Alabama,1910
Scott Taylor,Alabama,1910
Joseph W. Smith,Alabama,1910
"David Olius ""Ollie"" Battle",Alabama,1910
Loner Denson Camp,Alabama,1910
W. C. Wallace,Alabama,1910
John L. Cunningham,Alabama,1911
"S. C. ""Pad"" Zaner",Alabama,1911
William Lewis Staggs,Alabama,1911
Harmon Barton Patridge,Alabama,1911
Ernest William Birt,Alabama,1911
Hollis Brown Horton,Alabama,1911
John Perry Edwards,Alabama,1912
William A. Patterson,Alabama,1912
James A. Mansfield,Alabama,1912
Frank Childress,Alabama,1912
James Crawford Bonner,Alabama,1913
Samuel Ulysses Spence,Alabama,1913
William Benjamin Morgan,Alabama,1913
John Aquilla Moore,Alabama,1913
Hugh Tully,Alabama,1913
Jack Holland,Alabama,1914
Sanford S. Perryman,Alabama,1914
Wil G. Thrower,Alabama,1914
Harry Shiretzki,Alabama,1914
William J. Hart,Alabama,1914
Will Dillard,Alabama,1914
J. W. Dashwood,Alabama,1914
Hugh H. DeShazo,Alabama,1914
George Foote McNeill,Alabama,1915
H. Grady Granger,Alabama,1915
Joseph P. Stevens,Alabama,1915
Clarence B. Kettles,Alabama,1915
Marion Screws,Alabama,1915
Frank McKissack,Alabama,1916
"Lucious  ""Alvan"" North",Alabama,1916
"Thomas Benjamin ""Ben"" Wallace",Alabama,1916
Ike D. Chancey,Alabama,1916
Andrew Marvin Mulder,Alabama,1917
Palmer Morrison Watts,Alabama,1918
Milton Goocher,Alabama,1918
"Benjamin Lawrence ""Lon"" O'Bryant",Alabama,1918
J. Carl Goodwin,Alabama,1918
George A. Sims,Alabama,1918
"John M. ""Mood"" Dooley",Alabama,1918
James Henry Eubank,Alabama,1918
Frank A. Bass,Alabama,1918
John William Burk,Alabama,1918
Beldon Napoleon Little,Alabama,1919
John B. Barbaree,Alabama,1919
Earl Davis,Alabama,1919
John Dickerson Newby,Alabama,1919
George Luther Berrey,Alabama,1919
George Arnold Scott,Alabama,1919
Carl C. Anderson,Alabama,1919
John W. Sparks,Alabama,1919
Earl W. Truitt,Alabama,1919
Ben F. Barrett,Alabama,1920
James Benjamin Ramsey,Alabama,1920
Sam P. Dobyns,Alabama,1920
Walter Franklin Granger,Alabama,1920
John C. Thrower,Alabama,1920
Eugene Hobbs,Alabama,1921
"Edwin Anthony ""Ed"" Kirby",Alabama,1921
Don Stephenson,Alabama,1921
Carl Alex Brill,Alabama,1922
Albert W. Sansom,Alabama,1922
"Robert ""Bob"" Smith",Alabama,1922
Jesse G. Thomas,Alabama,1922
Brice Hurst,Alabama,1922
Joe Holliday,Alabama,1922
George Stuart Wilson,Alabama,1922
Henry H. Heard,Alabama,1923
Kenneth Thompson,Alabama,1923
Walter C. Hollums,Alabama,1923
Henry Ingram,Alabama,1924
James J. Shaw,Alabama,1924
James Early McGowan,Alabama,1924
Wilson H. Coleman,Alabama,1925
Lawrence Percy Dawson,Alabama,1925
Bert C. Johnson,Alabama,1926
John L. Campbell,Alabama,1926
Christopher M. Dean,Alabama,1926
Marvin Williams,Alabama,1926
Adus Egypsia Windham,Alabama,1927
Samuel Lewis Williams,Alabama,1927
Robert Allen Draper,Alabama,1927
Ray Payne,Alabama,1927
Burns Almon,Alabama,1927
Alexander A. Manley,Alabama,1927
Edward Nix,Alabama,1927
Howard E. Thurman,Alabama,1927
Arthur Lee Kelley,Alabama,1927
Lee Clark,Alabama,1927
Thomas P. Miller,Alabama,1927
John Perry Hood,Alabama,1928
John T. Rowland,Alabama,1928
James Crawford Drake,Alabama,1928
Elsie T. Lewis,Alabama,1928
Harry B. Lamb,Alabama,1928
Norris R. Scarbrough,Alabama,1928
Hugh Craft,Alabama,1929
John Wesley O'Bryen,Alabama,1929
Rexford C. Wright,Alabama,1929
William Murphy,Alabama,1929
Harris Milner,Alabama,1929
James Franklin Barbaree,Alabama,1929
D. E. Tidwell,Alabama,1929
Smith Owen Wester,Alabama,1930
Thomas E. Wright,Alabama,1930
Henry Francis Mills,Alabama,1930
George Washington Elliott,Alabama,1930
William F. Barr,Alabama,1931
Charles Lee Sims,Alabama,1931
Lee Edward Buckalew,Alabama,1931
Henry Clay Vaughn,Alabama,1931
Clayton J. Roney,Alabama,1931
John Oscar Johnson,Alabama,1931
"J. T. Gomillion, Jr.",Alabama,1932
Matthew L. Wann,Alabama,1932
"William S. ""Buck"" Jones",Alabama,1932
William Ira Latham,Alabama,1932
A. Claud Snider,Alabama,1932
Oscar Jerkins,Alabama,1933
Charles R. Smith,Alabama,1933
William Joseph Melton,Alabama,1933
Dumas Froy Phillips,Alabama,1934
"F. Augusta ""Gus"" Kimberly",Alabama,1934
Forest J. Harris,Alabama,1935
Clyde Appling,Alabama,1935
James M. Early,Alabama,1935
Edward DeFord,Alabama,1935
Raymond Mathis,Alabama,1936
Homer Earnest Poore,Alabama,1936
Thomas Jenkins Jones,Alabama,1936
Andrew O. Brassington,Alabama,1936
"Benjamin T. ""Benny"" McDonald",Alabama,1936
Grady Todd,Alabama,1936
John J. Bryant,Alabama,1936
William Maury Young,Alabama,1936
"Roy Eugene Mangum, Sr.",Alabama,1937
Andrew  Thomas Dutton,Alabama,1937
"William D. Raiford, Sr.",Alabama,1937
Cody Bettis,Alabama,1938
B. B. Cox,Alabama,1938
Hoyt Holder,Alabama,1938
Goode King Tait,Alabama,1938
William Thomas McMinn,Alabama,1939
"John Thomas Sanders, Sr.",Alabama,1939
James Tillman Moser,Alabama,1939
Bedford F. Brackeen,Alabama,1941
Jesse Franklin Rickels,Alabama,1941
John T. Oaks,Alabama,1941
Newton Edward Wolff,Alabama,1941
James Burton Burnett,Alabama,1941
G. A. DeLoach,Alabama,1942
J. O. Hammett,Alabama,1942
Charles Gordon Cox,Alabama,1942
Thomas Jackson Blake,Alabama,1942
Charles Cook,Alabama,1942
Ollie Mason,Alabama,1943
"William Richard ""Billy"" Coleman",Alabama,1943
Milton F. Ferguson,Alabama,1943
Pierce Lee Reeves,Alabama,1944
"John Alfred Salter, Sr.",Alabama,1944
Rufus Shelley Kendrick,Alabama,1945
C. C. Solomon,Alabama,1946
Arnold Jackson Dorman,Alabama,1946
"Leroy H. ""Shorty"" Thomas",Alabama,1947
R. E. Sparks,Alabama,1948
William Houston McCormack,Alabama,1948
Dewey Rickles,Alabama,1948
Frank Burkett,Alabama,1948
Harold E. Groover,Alabama,1949
Luther T. Bozeman,Alabama,1950
Marion C. Stalnaker,Alabama,1950
Washington May Bennett,Alabama,1951
Leonard J. Floyd,Alabama,1951
Sam Linn,Alabama,1951
S. R. Howton,Alabama,1951
E. M. Boyles,Alabama,1951
Clifford Peak,Alabama,1951
Arvil O. Hudson,Alabama,1952
Herman Treece,Alabama,1952
Frank Harbison,Alabama,1952
Alfred Wadsworth,Alabama,1952
J. Foster King,Alabama,1952
Henry Preston Bryant,Alabama,1952
Rex A. Sanford,Alabama,1952
Clyde Tatum,Alabama,1952
J. Kyle Young,Alabama,1952
Homer F. Hubbard,Alabama,1952
Julian F. Draughon,Alabama,1953
Edward Albert McCormack,Alabama,1953
Fred R. Brockman,Alabama,1953
Langston Wysner,Alabama,1953
Ewell B. Starr,Alabama,1953
William Roy Posey,Alabama,1954
James C. Langford,Alabama,1954
Ralph M. Griffin,Alabama,1954
Charlie G. Pearce,Alabama,1955
Dan Hubbard,Alabama,1955
Dudley Emerson Whiteside,Alabama,1955
Mack Norris,Alabama,1955
Frazier Cole,Alabama,1955
"Alan S. Logel, Jr.",Alabama,1956
John Frost,Alabama,1956
Ezra Sethal Smith,Alabama,1956
Howard Milford Brock,Alabama,1957
J. C. Woodham,Alabama,1957
Archie Brown Boutwell,Alabama,1957
James B. Clark,Alabama,1957
Alex Hurst,Alabama,1957
Emmett C. Bright,Alabama,1957
Henry J. Searcy,Alabama,1957
Patrick Herman Sandlin,Alabama,1958
Richard Revere Perkins,Alabama,1958
Dillard Willingham,Alabama,1958
Clyde Wesley Gregg,Alabama,1959
Norman Lee Read,Alabama,1959
"Horace C. ""Pot"" Hall",Alabama,1960
Ralph B. Thomas,Alabama,1960
Joe F. Partin,Alabama,1960
Anthony Scozzaro,Alabama,1961
James D. Sanford,Alabama,1961
Kelly Wilson Vaught,Alabama,1961
"Charles E. Drake, Jr.",Alabama,1962
"Troy Clifton ""Bud"" Willingham",Alabama,1962
Herbert C. Osborn,Alabama,1962
Thomas Estes Maxwell,Alabama,1962
Jean Hayden Youngblood,Alabama,1962
Loyd C. Hays,Alabama,1964
John Yancy Hilton,Alabama,1964
"Charles Herman Driggers, Sr.",Alabama,1964
Billy Daly,Alabama,1964
Conley Taylor,Alabama,1964
William Norvin Palmer,Alabama,1964
Jerry L. Darnell,Alabama,1964
Waylon W. Sewell,Alabama,1965
Raymond M. Carlton,Alabama,1965
Douglas William West,Alabama,1965
Dalton Toy Garner,Alabama,1965
Walter Britt Sawyer,Alabama,1966
Preston R. Butler,Alabama,1966
Bennie Loel Tarleton,Alabama,1967
Randolph G. Glover,Alabama,1967
Cecil Sullivan,Alabama,1967
Samuel D. Sumner,Alabama,1967
Larry Neal Stone,Alabama,1968
Joseph Vastine Herring,Alabama,1968
William T. Gaskin,Alabama,1968
Billy Ray Dease,Alabama,1968
Earl Royce Williams,Alabama,1968
Azell L. Harris,Alabama,1969
Brooks D. Lawson,Alabama,1969
Benton McLemore,Alabama,1969
