Name,Age,Cause
Lobo,5.0,Duty related illness
Sultan,2.0,Fall
Rex,3.0,Gunfire
Thor,4.0,Gunfire
Kirk,9.0,Gunfire
Fury,3.0,Gunfire
Caesar,4.0,Fall
Quint,4.0,Struck by vehicle
Harvey,3.0,Other
Art,3.0,Gunfire (Inadvertent)
Bandit,5.0,Gunfire
Max,2.0,Gunfire
King,4.0,Gunfire
Baron,4.0,Automobile crash
Sieger,9.0,Other
Beau,2.0,Gunfire
Asko,3.0,Fall
Smokey,5.0,Gunfire (Inadvertent)
Ryker,7.0,Other
Eon,2.0,Struck by vehicle
Lobo,2.0,Struck by vehicle
Cello Van Wachthaus,5.0,Duty related illness
Damon,7.0,Fall
Rebel,5.0,Stabbed
Ganges I,4.0,Fall
EX,4.0,Gunfire
Ingo,5.0,Gunfire
Gero,4.0,Gunfire
Max II,9.0,Other
Bandit,8.0,Gunfire
Argos,3.0,Gunfire
Beau,2.0,Heatstroke
Joker,3.0,Stabbed
Berry von den Kemper Benden,6.0,Automobile crash
Pilgrim,5.0,Other
Ando,10.0,Gunfire
Major,5.0,Gunfire
Captain,4.0,Other
Dax,5.0,Other
Kim,5.0,Stabbed
Jupp,2.0,Struck by vehicle
Rolf,4.0,Stabbed
Fero,4.0,Gunfire (Inadvertent)
R.O.C.C.O.,8.0,Other
Sendy,6.0,Gunfire
Andy,4.0,Struck by vehicle
Ajax,6.0,Other
Hunter,8.0,Gunfire
Marco,6.0,Gunfire (Inadvertent)
Ralph,3.0,Other
Kimbo,4.0,Gunfire
Iron,6.0,Gunfire
Rondo,8.0,Stabbed
Ajax,3.0,Gunfire
Canto,6.0,Other
Solo,4.0,Gunfire
Argo,9.0,Gunfire
Derrek,6.0,Gunfire
Callahan,5.0,Gunfire
Aron,3.0,Gunfire
Wolf,7.0,Gunfire
Baltimore,5.0,Automobile crash
Titan,4.0,Gunfire
Erny,3.0,Gunfire
Tramp,6.0,Struck by vehicle
Maverick,6.0,Struck by vehicle
Ferro,5.0,Struck by vehicle
Sirius,4.0,Other
Rocco,3.0,Fall
Zeus,2.0,Gunfire
Zucco,4.0,Gunfire
Jambo,10.0,Other
Rudy,4.0,Stabbed
Rik,2.0,Gunfire
Rudi,2.0,Automobile crash
Mark,6.0,Struck by vehicle
Woodrow,5.0,Heatstroke
Sgt. Don Vom Ederbergland,6.0,Gunfire
Faro,4.0,Gunfire
Ikon,8.0,Struck by vehicle
Marko,9.0,Gunfire (Inadvertent)
Alko,6.0,Stabbed
Bryson,7.0,Automobile crash
Nero,5.0,Automobile crash
Vasko,5.0,Gunfire
Gero,5.0,Gunfire
Klief,5.0,Stabbed
Rex,8.0,Duty related illness
Arco,8.0,Gunfire
Pasco,4.0,Fall
R.J.,3.0,Other
Ranger,4.0,Gunfire
Pinto,5.0,Automobile crash
Diogi,3.0,Gunfire
Miko,3.0,Fall
Top,5.0,Heatstroke
Brisco,5.0,Struck by vehicle
Cezar,7.0,Gunfire
Stryker,6.0,Other
Dakota,5.0,Gunfire
Rico,7.0,Struck by vehicle
Leon,3.0,Struck by vehicle
Ulf,6.0,Gunfire
Hector,3.0,Other
Hieke,9.0,Heatstroke
Carsen,3.0,Gunfire (Inadvertent)
Oozi,7.0,Gunfire (Inadvertent)
King Luther,3.0,Struck by vehicle
Striker,6.0,Gunfire (Inadvertent)
Andy,7.0,Gunfire (Inadvertent)
Gunner,4.0,Struck by vehicle
Rocky,7.0,Gunfire
Chase,3.0,Fall
Freddy,3.0,Gunfire
Shiloh,2.0,Other
Kimbo,4.0,Duty related illness
Nitro,2.0,Struck by vehicle
Philos,8.0,Other
Ado,5.0,Struck by vehicle
L.E.,3.0,Other
Dasher,7.0,Automobile crash
Sarge,6.0,Gunfire
Duke,5.0,Heatstroke
Schultz,3.0,Other
Koda,3.0,Gunfire
Kazoe,7.0,Struck by vehicle
Maggie,6.0,Other
Rocky,2.0,Fall
Fargo,5.0,Gunfire
Red,1.0,Struck by vehicle
Knight,2.0,Heatstroke
Clif,5.0,Struck by vehicle
Hatos,3.0,Heatstroke
Chico,6.0,Heatstroke
Jeg,7.0,Heatstroke
Creed,2.0,Gunfire
Ivan,2.0,Gunfire
Sasha,8.0,Heatstroke
Morgan,1.0,Other
Chuck,4.0,Heatstroke
