Name,State,Year
Rex,Alabama,1968
Tracker,Alabama,2014
Jake,Alabama,2019
Hooch,Alabama,2019
Figo,Alabama,2021
Beni,Alabama,2022
Helo,Alaska,2016
Rico,Alaska,2017
Woo,Arizona,1974
Silver,Arizona,1975
Sam,Arizona,1977
Roscoe,Arizona,1984
Yeager,Arizona,1986
Murph,Arizona,1986
Ado,Arizona,1987
Dax,Arizona,1994
Bruno,Arizona,1994
Hunter,Arizona,1996
Jos,Arizona,1996
Ringo,Arizona,1999
Hugo,Arizona,2001
Rico,Arizona,2004
Rex,Arizona,2004
Rocky,Arizona,2005
R.J.,Arizona,2005
Miko,Arizona,2006
Top,Arizona,2007
Bandit,Arizona,2007
Rico,Arizona,2007
Leon,Arizona,2007
Baloo,Arizona,2008
Striker,Arizona,2008
Jeg,Arizona,2012
Ivan,Arizona,2012
Ronin,Arizona,2013
Amigo,Arizona,2016
Bane,Arizona,2018
Koki,Arizona,2019
Ike,Arizona,2020
Titus,Arkansas,2015
Lina,Arkansas,2016
Hemi,Arkansas,2018
Sultan,California,1963
Donka,California,1965
Heiko,California,1968
Quint,California,1974
Vem,California,1979
Asko,California,1981
Rooster,California,1981
Gauner,California,1982
Sonny,California,1984
EX,California,1986
Richter,California,1987
Billy,California,1988
Marko,California,1989
Liberty,California,1989
Captain,California,1990
Kim,California,1991
Sendy,California,1995
Marco,California,1996
Rondo,California,1997
Maverick,California,2000
Ivan,California,2001
Rocco,California,2001
Jambo,California,2002
Rudy,California,2002
Marko,California,2003
Nero,California,2003
Urk,California,2003
Klief,California,2004
Pasco,California,2005
Ranger,California,2005
Stryker,California,2007
Niko,California,2009
Billy,California,2009
Ado,California,2009
Ike,California,2011
Morgan,California,2012
Mattie,California,2013
Sultan,California,2015
Nitro,California,2015
Jojo,California,2016
Bruno,California,2016
Bodie,California,2016
Jag,California,2016
Credo,California,2016
Ty Vom Friedrichsfelder Eck,California,2016
Jax,California,2017
Bane,California,2018
Bandit,California,2018
Rocco,California,2019
Windy,California,2019
Ozzy,California,2019
Atlas,California,2020
Jango,California,2021
Riley,California,2021
Cannon,California,2022
Bluz,California,2022
Hannes,California,2022
Gero,Colorado,2004
Petra,Colorado,2014
Jinx,Colorado,2022
Caesar,Connecticut,1976
Rocky,Connecticut,2013
Major,Connecticut,2014
Thor,Connecticut,2016
Lux,Delaware,2022
Rocket,District of Columbia,2022
Thor,Florida,1969
Mac,Florida,1976
Dorn,Florida,1976
Baron,Florida,1978
Sarge,Florida,1980
Smokey,Florida,1981
Cello Van Wachthaus,Florida,1984
Gero,Florida,1986
Beau,Florida,1987
Major,Florida,1988
Major,Florida,1990
Astor,Florida,1993
Rolf,Florida,1993
Ajax,Florida,1996
Ralph,Florida,1997
Lazer,Florida,1997
Kimbo,Florida,1997
Wolf,Florida,1998
Trax,Florida,1999
Quanto,Florida,1999
